Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:31:18.131,135.0,166.4306640625
2025-07-12 18:31:18.165,135.0,166.2841796875
2025-07-12 18:31:18.199,135.0,166.259765625
2025-07-12 18:31:18.233,135.0,166.4306640625
2025-07-12 18:31:18.267,135.0,166.4794921875
2025-07-12 18:31:18.301,135.0,166.4794921875
2025-07-12 18:31:18.335,135.0,166.455078125
2025-07-12 18:31:18.368,135.0,166.4306640625
2025-07-12 18:31:18.402,135.0,166.4306640625
2025-07-12 18:31:18.436,135.0,166.455078125
2025-07-12 18:31:18.470,135.0,166.6015625
2025-07-12 18:31:18.504,135.0,166.650390625
2025-07-12 18:31:18.538,135.0,166.7236328125
2025-07-12 18:31:18.573,135.0,166.748046875
2025-07-12 18:31:18.606,135.0,166.748046875
2025-07-12 18:31:18.640,135.0,166.6748046875
2025-07-12 18:31:18.675,135.0,166.650390625
2025-07-12 18:31:18.709,135.0,166.40625
2025-07-12 18:31:18.743,135.0,166.259765625
2025-07-12 18:31:18.777,135.0,166.2353515625
2025-07-12 18:31:18.811,136.0,166.30859375
2025-07-12 18:31:18.845,136.0,166.3818359375
2025-07-12 18:31:18.879,136.0,166.455078125
2025-07-12 18:31:18.914,136.0,166.455078125
2025-07-12 18:31:18.947,136.0,166.4306640625
2025-07-12 18:31:18.982,136.0,166.40625
2025-07-12 18:31:19.015,136.0,166.40625
2025-07-12 18:31:19.049,136.0,166.650390625
2025-07-12 18:31:19.083,136.0,166.7236328125
2025-07-12 18:31:19.117,136.0,166.7236328125
2025-07-12 18:31:19.152,136.0,166.552734375
2025-07-12 18:31:19.186,136.0,166.455078125
2025-07-12 18:31:19.220,136.0,166.357421875
2025-07-12 18:31:19.254,136.0,166.3818359375
2025-07-12 18:31:19.288,136.0,166.5771484375
2025-07-12 18:31:19.322,136.0,166.6015625
2025-07-12 18:31:19.356,136.0,166.552734375
2025-07-12 18:31:19.390,135.0,166.5283203125
2025-07-12 18:31:19.424,135.0,166.50390625
2025-07-12 18:31:19.458,135.0,166.552734375
2025-07-12 18:31:19.492,135.0,166.552734375
2025-07-12 18:31:19.526,135.0,166.552734375
2025-07-12 18:31:19.560,135.0,166.552734375
2025-07-12 18:31:19.594,135.0,166.552734375
2025-07-12 18:31:19.628,135.0,166.5283203125
2025-07-12 18:31:19.662,135.0,166.5283203125
2025-07-12 18:31:19.696,135.0,166.5283203125
2025-07-12 18:31:19.730,135.0,166.5283203125
2025-07-12 18:31:19.763,135.0,166.552734375
2025-07-12 18:31:19.797,135.0,166.552734375
2025-07-12 18:31:19.831,135.0,166.552734375
2025-07-12 18:31:19.865,135.0,166.5771484375
2025-07-12 18:31:19.899,135.0,166.5771484375
2025-07-12 18:31:19.934,135.0,166.7236328125
2025-07-12 18:31:19.968,135.0,166.7236328125
2025-07-12 18:31:20.001,135.0,166.650390625
2025-07-12 18:31:20.035,135.0,166.5283203125
2025-07-12 18:31:20.069,135.0,166.4794921875
2025-07-12 18:31:20.103,135.0,166.4794921875
2025-07-12 18:31:20.137,135.0,166.552734375
2025-07-12 18:31:20.170,135.0,166.552734375
2025-07-12 18:31:20.204,135.0,166.552734375
2025-07-12 18:31:20.238,135.0,166.50390625
2025-07-12 18:31:20.272,135.0,166.50390625
2025-07-12 18:31:20.306,135.0,166.5283203125
2025-07-12 18:31:20.340,135.0,166.552734375
2025-07-12 18:31:20.374,135.0,166.5771484375
2025-07-12 18:31:20.408,135.0,166.5771484375
2025-07-12 18:31:20.442,135.0,166.552734375
2025-07-12 18:31:20.476,135.0,166.50390625
2025-07-12 18:31:20.510,135.0,166.50390625
2025-07-12 18:31:20.544,135.0,166.552734375
2025-07-12 18:31:20.578,135.0,166.650390625
2025-07-12 18:31:20.612,135.0,166.845703125
2025-07-12 18:31:20.646,135.0,166.845703125
2025-07-12 18:31:20.681,135.0,166.7236328125
2025-07-12 18:31:20.714,135.0,166.4794921875
2025-07-12 18:31:20.749,135.0,166.4306640625
2025-07-12 18:31:20.783,135.0,166.455078125
2025-07-12 18:31:20.817,135.0,166.6748046875
2025-07-12 18:31:20.851,135.0,166.796875
2025-07-12 18:31:20.885,135.0,166.8212890625
2025-07-12 18:31:20.919,135.0,166.8212890625
2025-07-12 18:31:20.953,135.0,166.69921875
2025-07-12 18:31:20.987,135.0,166.6259765625
2025-07-12 18:31:21.021,135.0,166.650390625
2025-07-12 18:31:21.055,136.0,166.748046875
2025-07-12 18:31:21.089,136.0,166.7724609375
2025-07-12 18:31:21.123,136.0,166.796875
2025-07-12 18:31:21.157,136.0,166.796875
2025-07-12 18:31:21.191,136.0,166.796875
2025-07-12 18:31:21.225,136.0,166.69921875
2025-07-12 18:31:21.259,136.0,166.69921875
2025-07-12 18:31:21.293,136.0,166.650390625
2025-07-12 18:31:21.327,136.0,166.650390625
2025-07-12 18:31:21.362,136.0,166.5771484375
2025-07-12 18:31:21.396,136.0,166.552734375
2025-07-12 18:31:21.430,136.0,166.552734375
2025-07-12 18:31:21.463,136.0,166.6015625
2025-07-12 18:31:21.497,136.0,166.5771484375
2025-07-12 18:31:21.531,136.0,166.5283203125
2025-07-12 18:31:21.565,136.0,166.5283203125
2025-07-12 18:31:21.599,136.0,166.5771484375
2025-07-12 18:31:21.633,136.0,166.7724609375
2025-07-12 18:31:21.667,136.0,166.796875
2025-07-12 18:31:21.701,136.0,166.69921875
2025-07-12 18:31:21.736,136.0,166.50390625
2025-07-12 18:31:21.770,136.0,166.4306640625
2025-07-12 18:31:21.804,136.0,166.3818359375
2025-07-12 18:31:21.839,136.0,166.3818359375
2025-07-12 18:31:21.873,136.0,166.3818359375
2025-07-12 18:31:21.907,136.0,166.4794921875
2025-07-12 18:31:21.940,136.0,166.5283203125
2025-07-12 18:31:21.975,136.0,166.5283203125
2025-07-12 18:31:22.008,136.0,166.552734375
2025-07-12 18:31:22.042,136.0,166.5771484375
2025-07-12 18:31:22.076,136.0,166.6259765625
2025-07-12 18:31:22.110,136.0,166.650390625
2025-07-12 18:31:22.144,136.0,166.6748046875
2025-07-12 18:31:22.178,135.0,166.6748046875
2025-07-12 18:31:22.212,136.0,166.69921875
2025-07-12 18:31:22.245,136.0,166.69921875
2025-07-12 18:31:22.280,136.0,166.69921875
2025-07-12 18:31:22.313,136.0,166.69921875
2025-07-12 18:31:22.347,135.0,166.6748046875
